12;7034;56560;586.210022;4144529;;10;1.5;;12;12;;7034
25.129629;2714;99760;108.565002;1353811;;10;1.5;;25.129629;48;;2714
30;14369;231546;478.933014;13861898;;12;12;;30;84;;14369
30.02092;7175;118144;239.166;3532029;;12;12;;30.02092;91;;7175
30.064516;3728;560832;124.390999;8720319;;12;12;;30.064516;93;;3728
12;2650;54533;221.006668;1506522;;12;12;;12;12;;2650
12;469;54987;39.101665;268761;;12;12;;12;12;;469
24.034246;7018;1225423;292.473999;44800568;;12;12;;24.034246;32;;7018
30.008417;53475;2210269;1782.637939;492513792;;12;12;;30.008417;89;;53475
25.010256;24385;2313974;975.492004;282157920;;12;12;;25.010256;44;;24385
12;517;54367;43.095001;292872;;12;12;;12;12;;517
12;1300;52886;108.34333;716235;;12;12;;12;12;;1300
29;8682;780946;289.656006;28275716;;12;12;;29;65;;8682
12;565;55547;47.09;326964;;12;12;;12;12;;565
12;2320;53946;193.375;1303978;;12;12;;12;12;;2320
12;1919;49054;159.938339;980714;;12;12;;12;12;;1919
25;1589;995760;63.52;7906335;;12;12;;25;38;;1589
29;6920;486551;230.863998;14040911;;12;12;;29;65;;6920
29;5748;389460;191.757996;9335261;;12;12;;29;65;;5748
12;3648;56064;304.041656;2130756;;12;12;;12;12;;3648
29;6421;325516;214.214005;8716261;;12;12;;29;65;;6421
29;7552;626880;251.957993;19743454;;15;22.5;;29;65;;7552
27.034483;14112;385640;522.919006;25207340;;15;22.5;;27.034483;50;;14112
25.066965;5615;429026;224.600006;12044907;;15.016501;24;;25.066965;46;;5615
12;1050;55563;87.53833;607988;;15.037234;25;;12;12;;1050
30;1953;272974;65.067001;2220200;;20;26.5;;30;84;;1953
29;12884;906379;430.26001;48747364;;20;26.5;;29;65;;12884
29;9225;486403;307.773987;18712776;;23;28;;29;65;;9225
29;5748;279147;191.757996;6691094;;24;30;;29;65;;5748
29;2550;499315;85.052002;5308468;;24;30;;29;65;;2550
12;405;56555;33.761665;238677;;24;30;;12;12;;405
30;1830;2975961;61;22691708;;24.034246;32;;30;84;;1830
30.008696;13804;759298;460.132996;43672276;;25;38;;30.008696;90;;13804
23;1462;259223;60.936001;1974502;;25;38;;23;28;;1462
30;15198;285490;506.566986;18077512;;25;38;;30;84;;15198
25.451612;789;231105;31.582001;912348;;25;38;;25.451612;49;;789
10;354;500637;35.41;2215946;;25;38;;10;1.5;;354
25;1827;294328;73.040001;2687220;;25;38;;25;38;;1827
29;6528;672218;217.783997;18299806;;25;38;;29;65;;6528
15;1232;288435;82.067001;2958880;;25;38;;15;22.5;;1232
29;5733;229897;191.257996;5496225;;25;38;;29;65;;5733
15.037234;2827;272292;188.656006;6421212;;25;38;;15.037234;25;;2827
10;1999;264710;199.800003;6611145;;25;38;;10;1.5;;1999
30.109005;6353;47506;211.852997;1258057;;25.010256;44;;30.109005;94;;6353
29;8866;1524698;295.845001;56384292;;25.043062;45;;29;65;;8866
25;6665;256561;266.559998;8548624;;25.066965;46;;25;38;;6665
24;2843;602405;116.403;8765223;;25.105263;47;;24;30;;2843
29;2218;462436;73.973999;4276039;;25.129629;48;;29;65;;2218
